

time(s),pulse,score,player,coin
194.5286,138,0.1684211,null,
194.545,132,0.1684211,null,
194.5616,132,0.1684211,null,
194.5782,132,0.2052632,null,
194.5949,132,0.2052632,null,
194.6116,132,0.2052632,null,
194.6282,132,0.2473684,null,
194.6449,133,0.2473684,0,
194.6616,133,0.3,null,pulse
194.6782,133,0.3,null,
194.695,133,0.3,null,
194.7116,133,0.3421053,null,
194.7282,133,0.3421053,null,
194.7449,133,0.3421053,null,
194.7616,133,0.3894737,null,
194.7783,133,0.3894737,null,
194.7949,133,0.3894737,null,
194.8116,133,0.4368421,null,
194.8283,133,0.4368421,null,
194.845,133,0.4368421,null,
194.8618,133,0.4368421,null,
194.8786,133,0.4368421,null,
194.8953,133,0.4842105,null,
194.9119,133,0.4842105,null,
194.9287,133,0.4842105,null,
194.9453,133,0.5,null,
194.9623,134,0.5,0,
194.9786,134,0.5,null,
194.995,134,0.5,null,
195.0116,134,0.5,null,
195.0283,134,0.5,null,
195.0449,134,0.5,null,
195.0617,134,0.5,null,
195.0783,134,0.5,null,
195.0949,134,0.5,null,
195.1118,134,0.5,null,
195.1282,134,0.5,null,
195.145,134,0.5,null,
195.1616,134,0.5,null,
195.1783,134,0.5,null,
195.1949,134,0.5,null,
195.2117,134,0.5,null,
195.2283,134,0.5,null,
195.245,134,0.5,null,
195.2617,134,0.5,null,
195.2784,134,0.5,null,
195.295,134,0.5,null,
195.3119,134,0.5,null,
195.3285,134,0.5,null,
195.3452,134,0.5,null,
195.3621,134,0.5,null,
195.3786,134,0.5,null,
195.3953,134,0.5,null,
195.412,134,0.5,null,
195.4287,134,0.5,null,
195.4454,135,0.5,0,
195.4617,135,0.5,null,
195.4782,135,0.5,null,
195.495,135,0.5,null,
195.5116,135,0.5,null,
195.5284,135,0.5,null,
195.545,135,0.5,null,
195.5616,135,0.5,null,
195.5783,135,0.5,null,
195.595,135,0.5,null,
195.6118,135,0.5,null,
195.6284,135,0.5,null,
195.645,135,0.5,null,
195.6616,135,0.5,null,
195.6784,135,0.5,null,
195.6953,135,0.5,null,
195.7119,135,0.5,null,
195.7283,135,0.4947369,null,
195.7449,135,0.4947369,null,
195.7618,135,0.4947369,null,
195.7783,135,0.4631579,null,
195.795,135,0.4631579,null,
195.8117,135,0.4631579,null,
195.8287,135,0.4210526,null,
195.8461,135,0.4210526,null,
195.8621,135,0.4210526,null,
195.8787,135,0.3789474,null,
195.8955,135,0.3789474,null,
195.9119,135,0.3315789,1,
195.9285,135,0.3315789,null,
195.9453,135,0.3315789,null,
195.9617,135,0.3315789,null,
195.9787,135,0.3315789,null,
195.9951,135,0.2842105,null,
196.0116,135,0.2842105,null,
196.0284,135,0.2842105,null,
196.0451,135,0.2368421,null,
196.0615,135,0.2368421,null,
196.0783,135,0.2368421,null,
196.0951,135,0.1947368,null,
196.1117,135,0.1947368,null,
196.1284,135,0.1947368,null,
196.145,135,0.1631579,null,
196.1619,136,0.1631579,2,
196.1783,136,0.131579,null,
196.195,136,0.131579,null,
196.2118,136,0.131579,null,
196.2284,136,0.1105263,null,
196.245,136,0.1105263,null,
196.2617,136,0.1105263,null,
196.2783,136,0.09473684,null,
196.2959,136,0.09473684,null,
196.3123,136,0.08421053,null,
196.3287,136,0.08421053,null,
196.3454,136,0.08421053,null,
196.3627,136,0.08421053,null,
196.3788,136,0.08421053,null,
196.3954,136,0.07368421,null,
196.4121,136,0.07368421,null,
196.429,136,0.07368421,null,
196.445,136,0.06842105,null,
196.4616,136,0.06842105,null,
196.4784,137,0.06842105,2,
196.4952,137,0.06315789,null,
196.5117,137,0.06315789,null,
196.5284,137,0.06315789,null,
196.5452,137,0.05789474,null,
196.5616,137,0.05789474,null,
196.5784,137,0.05263158,null,
196.5952,137,0.05263158,null,
196.6119,137,0.05263158,null,
196.6285,137,0.05263158,null,
196.645,137,0.05263158,null,
196.6618,137,0.05263158,null,
196.6784,137,0.05263158,null,
196.6951,137,0.05263158,null,
196.7119,137,0.05263158,null,
196.7285,137,0.05263158,null,
196.7451,137,0.05263158,null,
196.7622,137,0.05263158,null,
196.7788,137,0.05263158,null,
196.7956,137,0.05263158,null,
196.8122,137,0.05263158,null,
196.8286,137,0.05263158,null,
196.8456,137,0.05263158,null,
196.8622,137,0.05263158,null,
196.8791,137,0.05263158,null,
196.8955,137,0.05263158,null,
196.9122,137,0.05263158,null,
196.9286,137,0.05263158,null,
196.9451,137,0.05263158,null,
196.9617,137,0.05263158,null,
196.9784,138,0.05263158,2,
196.9952,138,0.05263158,null,
197.0118,138,0.05263158,null,
197.0285,138,0.05263158,null,
197.045,138,0.05263158,null,
197.0619,138,0.05263158,null,
197.0785,138,0.05263158,null,
197.0951,138,0.05263158,null,
197.1119,138,0.05263158,null,
197.1285,138,0.05263158,null,
197.1452,138,0.05263158,null,
197.1619,138,0.05263158,null,
197.1785,138,0.05789474,null,
197.1953,138,0.05789474,null,
197.2119,138,0.05789474,null,
197.229,138,0.06315789,null,
197.2455,138,0.06315789,null,
197.2622,138,0.06315789,null,
197.2789,138,0.06315789,null,
197.2957,138,0.06315789,null,
197.3122,138,0.06842105,null,
197.3289,138,0.06842105,null,
197.3455,138,0.06842105,null,
197.3622,138,0.08421053,null,
197.3789,138,0.08421053,null,
197.3953,138,0.08421053,null,
197.4118,138,0.1210526,1,
197.4284,138,0.1210526,null,
197.4452,132,0.1631579,null,
197.4619,132,0.1631579,null,
197.4785,132,0.1631579,null,
197.4952,132,0.1947368,null,
197.5119,132,0.1947368,null,
197.5287,132,0.1947368,null,
197.5453,132,0.2368421,null,
197.5618,132,0.2368421,null,
197.5785,132,0.2368421,null,
197.5954,132,0.2789474,null,
197.6118,133,0.2789474,0,
197.6286,133,0.2789474,null,
197.6453,133,0.3210526,null,
197.662,133,0.3210526,null,
197.6785,133,0.3578947,null,
197.6954,133,0.3578947,null,
197.7122,133,0.3578947,null,
197.7289,133,0.3947369,null,
197.7456,133,0.3947369,null,
197.7627,133,0.3947369,null,
197.7787,133,0.4368421,null,
197.7957,133,0.4368421,null,
197.8123,133,0.4368421,null,
197.8292,133,0.4368421,null,
197.8452,133,0.4368421,null,
197.8619,133,0.4736842,null,
197.8785,133,0.4736842,null,
197.8952,133,0.5,null,
197.912,133,0.5,null,
197.9286,133,0.5,null,
197.9453,134,0.5,0,
197.9619,134,0.5,null,
197.9787,134,0.5,null,
197.9956,134,0.5,null,
198.012,134,0.5,null,
198.0286,134,0.5,null,
198.0453,134,0.5,null,
198.0619,134,0.5,null,
198.0786,134,0.5,null,
198.0955,134,0.5,null,
198.112,134,0.5,null,
198.1286,134,0.5,null,
198.1453,134,0.5,null,
198.1623,134,0.5,null,
198.179,134,0.5,null,
198.1958,134,0.5,null,
198.2123,134,0.5,null,
198.2292,134,0.5,null,
198.2457,134,0.5,null,
198.2624,134,0.5,null,
198.279,134,0.5,null,
198.296,134,0.5,null,
198.312,134,0.5,null,
198.3286,134,0.5,null,
198.3452,134,0.5,null,
198.3623,134,0.5,null,
198.3786,134,0.5,null,
198.3954,134,0.5,null,
198.4119,134,0.5,null,
198.4286,134,0.5,null,
198.4453,135,0.5,0,
198.4621,135,0.5,null,
198.4786,135,0.5,null,
198.4954,135,0.5,null,
198.512,135,0.5,null,
198.5286,135,0.4789474,null,
198.5452,135,0.4789474,null,
198.562,135,0.4789474,null,
198.5785,135,0.4789474,null,
198.5953,135,0.4789474,null,
198.6119,135,0.4526316,null,
198.629,135,0.4526316,null,
198.6457,135,0.4526316,null,
198.6623,135,0.4157895,null,
198.679,135,0.4157895,null,
198.6957,135,0.4157895,null,
198.7125,135,0.3736842,null,
198.729,135,0.3736842,null,
198.7458,135,0.3263158,null,
198.7624,135,0.3263158,null,
198.7788,135,0.2736842,null,
198.7953,136,0.2736842,1,
198.8121,136,0.2736842,null,
198.8286,136,0.2210526,null,
198.8454,136,0.2210526,null,
198.862,136,0.2210526,null,
198.8786,136,0.1736842,null,
198.8952,136,0.1736842,null,
198.912,136,0.1736842,null,
198.9288,136,0.1736842,null,
198.9453,136,0.1736842,null,
198.9621,136,0.1736842,null,
198.9786,136,0.1421053,null,
198.9954,136,0.1421053,null,
199.012,137,0.1105263,2,
199.0285,137,0.1105263,null,
199.0454,137,0.1105263,null,
199.0621,137,0.09473684,null,
199.0786,137,0.09473684,null,
199.0957,137,0.09473684,null,
199.1124,137,0.08421053,null,
199.1289,137,0.08421053,null,
199.1458,137,0.08421053,null,
199.1624,137,0.07894737,null,
199.1791,137,0.07894737,null,
199.1958,137,0.07894737,null,
199.2128,137,0.07368421,null,
199.229,137,0.07368421,null,
199.2457,137,0.06842105,null,
199.2619,137,0.06842105,null,
199.279,137,0.06842105,null,
199.2953,137,0.06315789,null,
199.312,137,0.06315789,null,
199.3287,137,0.06315789,null,
199.3453,137,0.05789474,null,
199.362,137,0.05789474,null,
199.3787,137,0.05789474,null,
199.3954,137,0.05789474,null,
199.4122,137,0.05789474,null,
199.4288,137,0.05789474,null,
199.4452,137,0.05789474,null,
199.4621,137,0.05789474,null,
199.4786,138,0.05263158,2,
199.4952,138,0.05263158,null,
199.512,138,0.05263158,null,
199.5286,138,0.05263158,null,
199.5455,138,0.05263158,null,
199.562,138,0.05263158,null,
199.5791,138,0.05263158,null,
199.5957,138,0.05263158,null,
199.6125,138,0.05263158,null,
199.6298,138,0.05263158,null,
199.646,138,0.05263158,null,
199.6624,138,0.05263158,null,
199.6788,138,0.05263158,null,
199.6957,138,0.05263158,null,
199.7125,138,0.05263158,null,
199.7287,138,0.05263158,null,
199.7453,138,0.05263158,null,
199.7621,138,0.05263158,null,
199.7787,138,0.05263158,null,
199.7954,138,0.05263158,null,
199.8121,138,0.05263158,null,
199.8288,138,0.05263158,null,
199.8453,138,0.05263158,null,
199.862,138,0.05263158,null,
199.8788,138,0.05263158,null,
199.8953,138,0.05789474,null,
199.9122,138,0.05789474,null,
199.9287,138,0.05263158,null,
199.9455,138,0.05263158,null,
199.9627,138,0.05263158,null,
199.9787,139,0.05789474,2,
199.9954,139,0.05789474,null,
200.012,139,0.05789474,null,
200.0287,139,0.05789474,null,
200.0454,139,0.05789474,null,
200.0621,139,0.05789474,null,
200.0792,139,0.05789474,null,
200.0956,139,0.05789474,null,
200.1124,139,0.06315789,null,
200.129,139,0.06315789,null,
200.1458,139,0.06315789,null,
200.1624,139,0.07894737,null,
200.1791,139,0.07894737,null,
200.1957,139,0.07894737,null,
200.2125,139,0.1105263,null,
200.2288,139,0.1105263,null,
200.2454,139,0.1105263,null,
200.262,139,0.1421053,null,
200.2786,140,0.1421053,1,
200.2954,140,0.1421053,null,
200.312,140,0.1736842,null,
200.3288,140,0.1736842,null,
200.3455,140,0.2052632,null,
200.362,140,0.2052632,null,
200.3789,140,0.2052632,null,
200.3954,140,0.2473684,null,
200.4121,140,0.2473684,null,
200.4288,140,0.2473684,null,
200.4454,140,0.2894737,null,
200.4621,141,0.2894737,0,
200.4787,141,0.2894737,null,
200.4954,141,0.3210526,null,
200.5123,141,0.3210526,null,
200.5287,141,0.3631579,null,
200.5456,141,0.3631579,null,
200.5623,141,0.3631579,null,
200.579,141,0.4105263,null,
200.5959,141,0.4105263,null,
200.6124,141,0.4105263,null,
200.6293,141,0.4526316,null,
200.6458,141,0.4526316,null,
200.6632,141,0.4526316,null,
200.6791,141,0.4526316,null,
200.6955,141,0.4526316,null,
200.7121,141,0.5,null,
200.7286,141,0.5,null,
200.7455,141,0.5,null,
200.7622,141,0.5,null,
200.7787,141,0.5,null,
200.7954,141,0.5,null,
200.8121,141,0.5,null,
200.8288,141,0.5,null,
200.8456,141,0.5,null,
200.8622,141,0.5,null,
200.8787,141,0.5,null,
200.8955,141,0.5,null,
200.9122,141,0.5,null,
200.9287,141,0.5,null,
200.9455,142,0.5,0,
200.9621,142,0.5,null,
200.979,142,0.5,null,
200.9955,142,0.5,null,
201.0125,142,0.5,null,
201.0294,142,0.5,null,
201.0458,142,0.5,null,
201.0628,142,0.5,null,
201.0792,142,0.5,null,
201.0962,142,0.5,null,
201.1125,142,0.5,null,
201.1291,142,0.5,null,
201.1459,142,0.5,null,
201.1623,142,0.5,null,
201.1788,142,0.5,null,
201.1956,142,0.5,null,
201.2122,142,0.5,null,
201.2287,142,0.5,null,
201.2455,142,0.5,null,
201.2622,142,0.5,null,
201.2787,142,0.5,null,
201.2955,142,0.5,null,
201.3123,142,0.5,null,
201.3288,142,0.5,null,
201.3455,142,0.5,null,
201.3622,142,0.5,null,
201.3788,142,0.5,null,
201.3956,142,0.5,null,
201.4122,142,0.5,null,
201.4289,142,0.5,null,
201.4455,143,0.4947369,0,
201.4621,143,0.4947369,null,
201.4795,143,0.4947369,null,
201.4959,143,0.468421,null,
201.5126,143,0.468421,null,
201.5292,143,0.468421,null,
201.5464,143,0.4421053,null,
201.5626,143,0.4421053,null,
201.5796,143,0.4421053,null,
201.5959,143,0.4,null,
201.6126,143,0.4,null,
201.629,143,0.3578947,null,
201.6454,143,0.3578947,null,
201.6623,143,0.3578947,null,
201.6788,143,0.3105263,null,
201.6955,143,0.3105263,null,
201.7122,143,0.3105263,null,
201.7288,143,0.2631579,null,
201.7455,144,0.2631579,1,
201.7623,144,0.2631579,null,
201.779,144,0.2631579,null,
201.7955,144,0.2631579,null,
201.8123,144,0.2631579,null,
201.8289,144,0.2157895,null,
201.8456,144,0.2157895,null,
201.8626,144,0.1736842,null,
201.8788,144,0.1736842,null,
201.8957,144,0.1736842,null,
201.9123,144,0.1368421,null,
201.9289,144,0.1368421,null,
201.9459,144,0.1368421,null,
201.9628,144,0.1052632,null,
201.9793,145,0.1052632,2,
201.9961,145,0.1052632,null,
202.0125,145,0.08947369,null,
202.0293,145,0.08947369,null,
202.0459,145,0.08947369,null,
202.0626,145,0.07894737,null,
202.0795,145,0.07894737,null,
202.0957,145,0.07368421,null,
202.1122,145,0.07368421,null,
202.129,145,0.07368421,null,
202.1456,145,0.06842105,null,
202.1623,145,0.06842105,null,
202.1789,145,0.06842105,null,
202.1956,145,0.06315789,null,
202.2123,145,0.06315789,null,
202.229,145,0.06315789,null,
202.2457,145,0.05789474,null,
202.2623,145,0.05789474,null,
202.2791,145,0.05789474,null,
202.2956,145,0.05789474,null,
202.3125,145,0.05789474,null,
202.329,145,0.05263158,null,
202.3456,145,0.05263158,null,
202.3624,145,0.05263158,null,
202.379,145,0.05263158,null,
202.3955,145,0.05263158,null,
202.4126,145,0.05263158,null,
202.4293,145,0.05789474,null,
202.446,145,0.05789474,null,
202.4627,145,0.05789474,null,
202.4793,146,0.05263158,2,
202.4962,146,0.05263158,null,
202.5127,146,0.05263158,null,
202.5297,146,0.05263158,null,
202.5459,146,0.05263158,null,
202.5623,146,0.05263158,null,
202.579,146,0.05263158,null,
202.5958,146,0.05263158,null,
202.6123,146,0.05263158,null,
202.629,146,0.05263158,null,
202.6456,146,0.05263158,null,
202.6623,146,0.05789474,null,
202.679,146,0.05789474,null,
202.6957,146,0.05789474,null,
202.7125,146,0.05263158,null,
202.729,146,0.05263158,null,
202.7457,146,0.05263158,null,
202.7624,146,0.05789474,null,
202.779,146,0.05789474,null,
202.7957,146,0.05789474,null,
202.8123,146,0.05789474,null,
202.8291,146,0.05789474,null,
202.8456,146,0.05789474,null,
202.8624,146,0.05789474,null,
202.8794,146,0.05789474,null,
202.8961,146,0.05789474,null,
202.9131,146,0.05789474,null,
202.9294,146,0.05789474,null,
202.9461,146,0.06315789,null,
202.9627,146,0.06315789,null,
202.9796,146,0.06315789,null,
202.9961,147,0.06842105,2,
203.0126,147,0.06842105,null,
203.0295,147,0.06842105,null,
203.0459,147,0.06842105,null,
203.0623,147,0.07368421,null,
203.079,147,0.07368421,null,
203.0957,147,0.07368421,null,
203.1124,147,0.08947369,null,
203.129,147,0.08947369,null,
203.1457,147,0.08947369,null,
203.1626,147,0.1157895,null,
203.1791,147,0.1157895,null,
203.1957,147,0.1157895,null,
203.2125,147,0.1473684,null,
203.2291,147,0.1473684,null,
203.2457,147,0.1736842,null,
203.2623,148,0.1736842,1,
203.2791,148,0.1736842,null,
203.2957,148,0.2052632,null,
203.3124,148,0.2052632,null,
203.329,148,0.2052632,null,
203.3461,148,0.2526316,null,
203.3629,148,0.2526316,null,
203.3794,148,0.2526316,null,
203.3961,148,0.2526316,null,
203.413,148,0.2526316,null,
203.4296,148,0.2526316,null,
203.4462,148,0.3,null,
203.4627,149,0.3,0,
203.4793,149,0.3421053,null,
203.496,149,0.3421053,null,
